	address_x	coord_x	address_y	coord_y	address	sub
105	Южная улица, 4, хутор Ведерников, Константиновский район, Ростовская область, Россия	(47.583462, 41.139876)	Огузский район, Азербайджан	(41.064183, 47.522828)	южная улица,4,хутор ведерников,константиновский район,ростовская область,россия	['ростовская']
106	Александровская улица, 82, Всеволожск, Ленинградская область, Россия	(60.026577, 30.63115)	Систан и Белуджистан, Иран	(27.687912, 60.721631)	александровская улица,82,всеволожск,ленинградская область,россия	['ленинградская']
107	улица Ленина, 20, Алушта, Республика Крым, Россия	(44.675225, 34.413551)	мухафаза Дияла, Ирак	(34.080473, 44.724944)	улица ленина,20,алушта,республика крым,россия	['крым']
108	улица Профинтерна, 35, Барнаул, Алтайский край, Россия	(53.356572, 83.764846)	Северный Ледовитый океан	(81.41805, 0.202202)	улица профинтерна,35,барнаул,алтайский край,россия	['алтайский']
109	улица Республики, 78/1, Сургут, Ханты-Мансийский автономный округ, Россия	(61.24415, 73.387346)	Карское море	(75.887185, 77.320072)	улица республики,78/1,сургут,ханты-мансийский автономный округ,россия	['ханты-мансийский']
110	Набережная улица, 1, Луга, Ленинградская область, Россия	(58.734651, 29.854781)	пески, Иран	(30.112247, 59.283149)	набережная улица,1,луга,ленинградская область,россия	['ленинградская']
111	посёлок Куть-Ях, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия	(60.330843, 72.036909)	Карское море	(75.887185, 77.320072)	поселок куть-ях,нефтеюганский район,ханты-мансийский автономный округ,россия	['ханты-мансийский']
112	улица Нефтяников, 1А, рабочий посёлок Искателей, Заполярный район, Ненецкий автономный округ, Россия	(67.678575, 53.121165)	КТАІ-7, Северо-Казахстанская область, Казахстан	(53.244068, 67.572947)	улица нефтяников,1а,рабочий поселок искателей,заполярный район,ненецкий автономный округ,россия	['ненецкий']
113	проспект Ленина, 58, Нижний Новгород, Россия	(56.275484, 43.922084)	Кунградский район, Республика Каракалпакстан, Узбекистан	(43.531151, 57.312551)	проспект ленина,58,нижний новгород,россия	['нижегородская']
114	улица Ленина, село Шубенка, Зональный район, Алтайский край, Россия	(52.648035, 85.103048)			улица ленина,село шубенка,зональный район,алтайский край,россия	['алтайский']
115	Школьная улица, 2, посёлок Урожайный, Зональный район, Алтайский край, Россия	(52.711825, 84.926152)	Северный Ледовитый океан	(81.41805, 0.202202)	школьная улица,2,поселок урожайный,зональный район,алтайский край,россия	['алтайский']
116	Советская улица, село Соколово, Зональный район, Алтайский край, Россия	(52.534888, 84.786958)	Северный Ледовитый океан	(81.41805, 0.202202)	советская улица,село соколово,зональный район,алтайский край,россия	['алтайский']
117	улица Матросова, 11, село Волчиха, Волчихинский район, Алтайский край, Россия	(52.01465, 80.366205)	пролив Британский Канал, Приморский район, Архангельская область, Россия	(80.416998, 51.51769)	пролив британский канал,приморский район,архангельская область,россия	['алтайский', 'архангельская']
118	Садовая улица, село Савиново, Зональный район, Алтайский край, Россия	(52.517333, 84.857395)	Северный Ледовитый океан	(81.41805, 0.202202)	садовая улица,село савиново,зональный район,алтайский край,россия	['алтайский']
119	село Плешково, Зональный район, Алтайский край, Россия	(52.746902, 84.79763)	Северный Ледовитый океан	(81.41805, 0.202202)	село плешково,зональный район,алтайский край,россия	['алтайский']
120	Советская улица, поселок Октябрьский, Зональный район, Алтайский край, Россия	(52.736598, 85.007512)	Северный Ледовитый океан	(81.41805, 0.202202)	советская улица,поселок октябрьский,зональный район,алтайский край,россия	['алтайский']
121	улица Ленина, село Малоархангельское, Пестравский район, Самарская область, Россия	(52.35904, 49.488225)	Акжаикский район, Западно-Казахстанская область, Казахстан	(49.599084, 51.521813)	улица ленина,село малоархангельское,пестравский район,самарская область,россия	['самарская']
122	Школьная улица, село Идакра, Пестравский район, Самарская область, Россия	(52.488679, 49.70718)	Сырымский район, Западно-Казахстанская область, Казахстан	(50.325986, 52.678107)	школьная улица,село идакра,пестравский район,самарская область,россия	['самарская']
123	посёлок Молодёжный, 18, городской округ Подольск, Московская область, Россия	(55.32602, 37.487532)	Голестан, Иран	(37.578935, 55.308428)	поселок молодежный,18,городской округ подольск,московская область,россия	['московская']
124	Комсомольская улица, поселок Комсомольский, Гулькевичский район, Краснодарский край, Россия	(45.305548, 40.685139)	Гехаркуникская область, Армения	(40.137465, 45.437811)	комсомольская улица,поселок комсомольский,гулькевичский район,краснодарский край,россия	['краснодарский']
